participantId,trialId,trialOrder,responseId,status,description,instruction,responsePrompt,answer,duration,cleanedDuration,parameters_taskid,parameters_itemWidthMM,parameters_itemHeightMM,parameters_blindspotAngle,parameters_taskType,parameters_params
"3f2e2f4f-9c1f-4aef-b09e-2a6d20988260","$virtual-chinrest.components.blindspot-distance","4","square-position","completed","undefined","undefined","Position of the black square in pixels","1140","44323","44323","undefined","undefined","undefined","13.5","undefined","undefined"
"3f2e2f4f-9c1f-4aef-b09e-2a6d20988260","$virtual-chinrest.components.blindspot-distance","4","windowEvents","undefined","undefined","undefined","undefined","{""focus"":2,""input"":0,""keydown"":10,""keyup"":10,""mousemove"":30,""mousedown"":2,""mouseup"":1,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"3f2e2f4f-9c1f-4aef-b09e-2a6d20988260","training_intro","5","","completed","undefined","undefined","undefined","undefined","13944","13944","undefined","undefined","undefined","undefined","undefined","undefined"
"3f2e2f4f-9c1f-4aef-b09e-2a6d20988260","training_intro","5","windowEvents","undefined","undefined","undefined","undefined","{""focus"":1,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":58,""mousedown"":1,""mouseup"":1,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"3f2e2f4f-9c1f-4aef-b09e-2a6d20988260","testing_intro","6","","completed","undefined","undefined","undefined","undefined","6305","6305","undefined","undefined","undefined","undefined","undefined","undefined"
"3f2e2f4f-9c1f-4aef-b09e-2a6d20988260","testing_intro","6","windowEvents","undefined","undefined","undefined","undefined","{""focus"":1,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":30,""mousedown"":1,""mouseup"":1,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"3f2e2f4f-9c1f-4aef-b09e-2a6d20988260","point_task_8","7","numericResponse","completed","undefined","***Experiment Instructions.*** Please read the following paragraphs carefully. You will be asked questions about the information in the paragraphs. 

***Scenario:*** Assume that you are a stock market investor. You are investing your own money in stocks, and you want to determine the average price of a stock over time in order to pick the best investment.

***Task:*** In this experiment, you will be shown graphs of stock prices over a one-year period like the one below. Your task is to determine the average stock price for that year. **What is the average stock price?** 

***Response:*** To indicate the average stock price, use your mouse to click and drag the handle on the slider, which will show a dotted red line. Move the line to where you think the average stock price is for that year. You can readjust the line by clicking, dragging, or using the left and right arrow keys. Once you are happy with your judgment of the average stock price, click the next button.","Numeric response of slider to Mortiz question","0.56","39541","39541","Moritz","undefined","undefined","undefined","moritz","[object Object]"
"3f2e2f4f-9c1f-4aef-b09e-2a6d20988260","point_task_8","7","pixelResponse","completed","undefined","***Experiment Instructions.*** Please read the following paragraphs carefully. You will be asked questions about the information in the paragraphs. 

***Scenario:*** Assume that you are a stock market investor. You are investing your own money in stocks, and you want to determine the average price of a stock over time in order to pick the best investment.

***Task:*** In this experiment, you will be shown graphs of stock prices over a one-year period like the one below. Your task is to determine the average stock price for that year. **What is the average stock price?** 

***Response:*** To indicate the average stock price, use your mouse to click and drag the handle on the slider, which will show a dotted red line. Move the line to where you think the average stock price is for that year. You can readjust the line by clicking, dragging, or using the left and right arrow keys. Once you are happy with your judgment of the average stock price, click the next button.","Numeric response of slider to Mortiz question","92.99999999999999","39541","39541","Moritz","undefined","undefined","undefined","moritz","[object Object]"
"3f2e2f4f-9c1f-4aef-b09e-2a6d20988260","point_task_8","7","windowEvents","undefined","undefined","undefined","undefined","{""focus"":1,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":82,""mousedown"":1,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"3f2e2f4f-9c1f-4aef-b09e-2a6d20988260","point_task_34","8","numericResponse","completed","undefined","***Experiment Instructions.*** Please read the following paragraphs carefully. You will be asked questions about the information in the paragraphs. 

***Scenario:*** Assume that you are a stock market investor. You are investing your own money in stocks, and you want to determine the average price of a stock over time in order to pick the best investment.

***Task:*** In this experiment, you will be shown graphs of stock prices over a one-year period like the one below. Your task is to determine the average stock price for that year. **What is the average stock price?** 

***Response:*** To indicate the average stock price, use your mouse to click and drag the handle on the slider, which will show a dotted red line. Move the line to where you think the average stock price is for that year. You can readjust the line by clicking, dragging, or using the left and right arrow keys. Once you are happy with your judgment of the average stock price, click the next button.","Numeric response of slider to Mortiz question","0.8","18044","18044","Moritz","undefined","undefined","undefined","moritz","[object Object]"
"3f2e2f4f-9c1f-4aef-b09e-2a6d20988260","point_task_34","8","pixelResponse","completed","undefined","***Experiment Instructions.*** Please read the following paragraphs carefully. You will be asked questions about the information in the paragraphs. 

***Scenario:*** Assume that you are a stock market investor. You are investing your own money in stocks, and you want to determine the average price of a stock over time in order to pick the best investment.

***Task:*** In this experiment, you will be shown graphs of stock prices over a one-year period like the one below. Your task is to determine the average stock price for that year. **What is the average stock price?** 

***Response:*** To indicate the average stock price, use your mouse to click and drag the handle on the slider, which will show a dotted red line. Move the line to where you think the average stock price is for that year. You can readjust the line by clicking, dragging, or using the left and right arrow keys. Once you are happy with your judgment of the average stock price, click the next button.","Numeric response of slider to Mortiz question","44.99999999999999","18044","18044","Moritz","undefined","undefined","undefined","moritz","[object Object]"
"3f2e2f4f-9c1f-4aef-b09e-2a6d20988260","point_task_34","8","windowEvents","undefined","undefined","undefined","undefined","{""focus"":2,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":94,""mousedown"":3,""mouseup"":3,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"3f2e2f4f-9c1f-4aef-b09e-2a6d20988260","point_task_15","9","numericResponse","completed","undefined","***Experiment Instructions.*** Please read the following paragraphs carefully. You will be asked questions about the information in the paragraphs. 

***Scenario:*** Assume that you are a stock market investor. You are investing your own money in stocks, and you want to determine the average price of a stock over time in order to pick the best investment.

***Task:*** In this experiment, you will be shown graphs of stock prices over a one-year period like the one below. Your task is to determine the average stock price for that year. **What is the average stock price?** 

***Response:*** To indicate the average stock price, use your mouse to click and drag the handle on the slider, which will show a dotted red line. Move the line to where you think the average stock price is for that year. You can readjust the line by clicking, dragging, or using the left and right arrow keys. Once you are happy with your judgment of the average stock price, click the next button.","Numeric response of slider to Mortiz question","0.38","6733","6733","Moritz","undefined","undefined","undefined","moritz","[object Object]"
"3f2e2f4f-9c1f-4aef-b09e-2a6d20988260","point_task_15","9","pixelResponse","completed","undefined","***Experiment Instructions.*** Please read the following paragraphs carefully. You will be asked questions about the information in the paragraphs. 

***Scenario:*** Assume that you are a stock market investor. You are investing your own money in stocks, and you want to determine the average price of a stock over time in order to pick the best investment.

***Task:*** In this experiment, you will be shown graphs of stock prices over a one-year period like the one below. Your task is to determine the average stock price for that year. **What is the average stock price?** 

***Response:*** To indicate the average stock price, use your mouse to click and drag the handle on the slider, which will show a dotted red line. Move the line to where you think the average stock price is for that year. You can readjust the line by clicking, dragging, or using the left and right arrow keys. Once you are happy with your judgment of the average stock price, click the next button.","Numeric response of slider to Mortiz question","129","6733","6733","Moritz","undefined","undefined","undefined","moritz","[object Object]"
"3f2e2f4f-9c1f-4aef-b09e-2a6d20988260","point_task_15","9","windowEvents","undefined","undefined","undefined","undefined","{""focus"":2,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":50,""mousedown"":2,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"3f2e2f4f-9c1f-4aef-b09e-2a6d20988260","point_task_26","10","numericResponse","completed","undefined","***Experiment Instructions.*** Please read the following paragraphs carefully. You will be asked questions about the information in the paragraphs. 

***Scenario:*** Assume that you are a stock market investor. You are investing your own money in stocks, and you want to determine the average price of a stock over time in order to pick the best investment.

***Task:*** In this experiment, you will be shown graphs of stock prices over a one-year period like the one below. Your task is to determine the average stock price for that year. **What is the average stock price?** 

***Response:*** To indicate the average stock price, use your mouse to click and drag the handle on the slider, which will show a dotted red line. Move the line to where you think the average stock price is for that year. You can readjust the line by clicking, dragging, or using the left and right arrow keys. Once you are happy with your judgment of the average stock price, click the next button.","Numeric response of slider to Mortiz question","0.75","6112","6112","Moritz","undefined","undefined","undefined","moritz","[object Object]"
"3f2e2f4f-9c1f-4aef-b09e-2a6d20988260","point_task_26","10","pixelResponse","completed","undefined","***Experiment Instructions.*** Please read the following paragraphs carefully. You will be asked questions about the information in the paragraphs. 

***Scenario:*** Assume that you are a stock market investor. You are investing your own money in stocks, and you want to determine the average price of a stock over time in order to pick the best investment.

***Task:*** In this experiment, you will be shown graphs of stock prices over a one-year period like the one below. Your task is to determine the average stock price for that year. **What is the average stock price?** 

***Response:*** To indicate the average stock price, use your mouse to click and drag the handle on the slider, which will show a dotted red line. Move the line to where you think the average stock price is for that year. You can readjust the line by clicking, dragging, or using the left and right arrow keys. Once you are happy with your judgment of the average stock price, click the next button.","Numeric response of slider to Mortiz question","55","6112","6112","Moritz","undefined","undefined","undefined","moritz","[object Object]"
"3f2e2f4f-9c1f-4aef-b09e-2a6d20988260","point_task_26","10","windowEvents","undefined","undefined","undefined","undefined","{""focus"":2,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":51,""mousedown"":2,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"3f2e2f4f-9c1f-4aef-b09e-2a6d20988260","point_task_11","11","numericResponse","completed","undefined","***Experiment Instructions.*** Please read the following paragraphs carefully. You will be asked questions about the information in the paragraphs. 

***Scenario:*** Assume that you are a stock market investor. You are investing your own money in stocks, and you want to determine the average price of a stock over time in order to pick the best investment.

***Task:*** In this experiment, you will be shown graphs of stock prices over a one-year period like the one below. Your task is to determine the average stock price for that year. **What is the average stock price?** 

***Response:*** To indicate the average stock price, use your mouse to click and drag the handle on the slider, which will show a dotted red line. Move the line to where you think the average stock price is for that year. You can readjust the line by clicking, dragging, or using the left and right arrow keys. Once you are happy with your judgment of the average stock price, click the next button.","Numeric response of slider to Mortiz question","0.2","7332","7332","Moritz","undefined","undefined","undefined","moritz","[object Object]"
"3f2e2f4f-9c1f-4aef-b09e-2a6d20988260","point_task_11","11","pixelResponse","completed","undefined","***Experiment Instructions.*** Please read the following paragraphs carefully. You will be asked questions about the information in the paragraphs. 

***Scenario:*** Assume that you are a stock market investor. You are investing your own money in stocks, and you want to determine the average price of a stock over time in order to pick the best investment.

***Task:*** In this experiment, you will be shown graphs of stock prices over a one-year period like the one below. Your task is to determine the average stock price for that year. **What is the average stock price?** 

***Response:*** To indicate the average stock price, use your mouse to click and drag the handle on the slider, which will show a dotted red line. Move the line to where you think the average stock price is for that year. You can readjust the line by clicking, dragging, or using the left and right arrow keys. Once you are happy with your judgment of the average stock price, click the next button.","Numeric response of slider to Mortiz question","165","7332","7332","Moritz","undefined","undefined","undefined","moritz","[object Object]"
"3f2e2f4f-9c1f-4aef-b09e-2a6d20988260","point_task_11","11","windowEvents","undefined","undefined","undefined","undefined","{""focus"":2,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":45,""mousedown"":2,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"3f2e2f4f-9c1f-4aef-b09e-2a6d20988260","point_task_46","12","numericResponse","completed","undefined","***Experiment Instructions.*** Please read the following paragraphs carefully. You will be asked questions about the information in the paragraphs. 

***Scenario:*** Assume that you are a stock market investor. You are investing your own money in stocks, and you want to determine the average price of a stock over time in order to pick the best investment.

***Task:*** In this experiment, you will be shown graphs of stock prices over a one-year period like the one below. Your task is to determine the average stock price for that year. **What is the average stock price?** 

***Response:*** To indicate the average stock price, use your mouse to click and drag the handle on the slider, which will show a dotted red line. Move the line to where you think the average stock price is for that year. You can readjust the line by clicking, dragging, or using the left and right arrow keys. Once you are happy with your judgment of the average stock price, click the next button.","Numeric response of slider to Mortiz question","0.69","6895","6895","Moritz","undefined","undefined","undefined","moritz","[object Object]"
"3f2e2f4f-9c1f-4aef-b09e-2a6d20988260","point_task_46","12","pixelResponse","completed","undefined","***Experiment Instructions.*** Please read the following paragraphs carefully. You will be asked questions about the information in the paragraphs. 

***Scenario:*** Assume that you are a stock market investor. You are investing your own money in stocks, and you want to determine the average price of a stock over time in order to pick the best investment.

***Task:*** In this experiment, you will be shown graphs of stock prices over a one-year period like the one below. Your task is to determine the average stock price for that year. **What is the average stock price?** 

***Response:*** To indicate the average stock price, use your mouse to click and drag the handle on the slider, which will show a dotted red line. Move the line to where you think the average stock price is for that year. You can readjust the line by clicking, dragging, or using the left and right arrow keys. Once you are happy with your judgment of the average stock price, click the next button.","Numeric response of slider to Mortiz question","67.00000000000001","6895","6895","Moritz","undefined","undefined","undefined","moritz","[object Object]"
"3f2e2f4f-9c1f-4aef-b09e-2a6d20988260","point_task_46","12","windowEvents","undefined","undefined","undefined","undefined","{""focus"":2,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":42,""mousedown"":2,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"3f2e2f4f-9c1f-4aef-b09e-2a6d20988260","point_task_45","13","numericResponse","completed","undefined","***Experiment Instructions.*** Please read the following paragraphs carefully. You will be asked questions about the information in the paragraphs. 

***Scenario:*** Assume that you are a stock market investor. You are investing your own money in stocks, and you want to determine the average price of a stock over time in order to pick the best investment.

***Task:*** In this experiment, you will be shown graphs of stock prices over a one-year period like the one below. Your task is to determine the average stock price for that year. **What is the average stock price?** 

***Response:*** To indicate the average stock price, use your mouse to click and drag the handle on the slider, which will show a dotted red line. Move the line to where you think the average stock price is for that year. You can readjust the line by clicking, dragging, or using the left and right arrow keys. Once you are happy with your judgment of the average stock price, click the next button.","Numeric response of slider to Mortiz question","0.29","5440","5440","Moritz","undefined","undefined","undefined","moritz","[object Object]"
"3f2e2f4f-9c1f-4aef-b09e-2a6d20988260","point_task_45","13","pixelResponse","completed","undefined","***Experiment Instructions.*** Please read the following paragraphs carefully. You will be asked questions about the information in the paragraphs. 

***Scenario:*** Assume that you are a stock market investor. You are investing your own money in stocks, and you want to determine the average price of a stock over time in order to pick the best investment.

***Task:*** In this experiment, you will be shown graphs of stock prices over a one-year period like the one below. Your task is to determine the average stock price for that year. **What is the average stock price?** 

***Response:*** To indicate the average stock price, use your mouse to click and drag the handle on the slider, which will show a dotted red line. Move the line to where you think the average stock price is for that year. You can readjust the line by clicking, dragging, or using the left and right arrow keys. Once you are happy with your judgment of the average stock price, click the next button.","Numeric response of slider to Mortiz question","146.99999999999997","5440","5440","Moritz","undefined","undefined","undefined","moritz","[object Object]"
"3f2e2f4f-9c1f-4aef-b09e-2a6d20988260","point_task_45","13","windowEvents","undefined","undefined","undefined","undefined","{""focus"":2,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":37,""mousedown"":2,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"3f2e2f4f-9c1f-4aef-b09e-2a6d20988260","point_task_22","14","numericResponse","completed","undefined","***Experiment Instructions.*** Please read the following paragraphs carefully. You will be asked questions about the information in the paragraphs. 

***Scenario:*** Assume that you are a stock market investor. You are investing your own money in stocks, and you want to determine the average price of a stock over time in order to pick the best investment.

***Task:*** In this experiment, you will be shown graphs of stock prices over a one-year period like the one below. Your task is to determine the average stock price for that year. **What is the average stock price?** 

***Response:*** To indicate the average stock price, use your mouse to click and drag the handle on the slider, which will show a dotted red line. Move the line to where you think the average stock price is for that year. You can readjust the line by clicking, dragging, or using the left and right arrow keys. Once you are happy with your judgment of the average stock price, click the next button.","Numeric response of slider to Mortiz question","0.6","5933","5933","Moritz","undefined","undefined","undefined","moritz","[object Object]"
"3f2e2f4f-9c1f-4aef-b09e-2a6d20988260","point_task_22","14","pixelResponse","completed","undefined","***Experiment Instructions.*** Please read the following paragraphs carefully. You will be asked questions about the information in the paragraphs. 

***Scenario:*** Assume that you are a stock market investor. You are investing your own money in stocks, and you want to determine the average price of a stock over time in order to pick the best investment.

***Task:*** In this experiment, you will be shown graphs of stock prices over a one-year period like the one below. Your task is to determine the average stock price for that year. **What is the average stock price?** 

***Response:*** To indicate the average stock price, use your mouse to click and drag the handle on the slider, which will show a dotted red line. Move the line to where you think the average stock price is for that year. You can readjust the line by clicking, dragging, or using the left and right arrow keys. Once you are happy with your judgment of the average stock price, click the next button.","Numeric response of slider to Mortiz question","85","5933","5933","Moritz","undefined","undefined","undefined","moritz","[object Object]"
"3f2e2f4f-9c1f-4aef-b09e-2a6d20988260","point_task_22","14","windowEvents","undefined","undefined","undefined","undefined","{""focus"":3,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":35,""mousedown"":3,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"3f2e2f4f-9c1f-4aef-b09e-2a6d20988260","point_task_2","15","numericResponse","completed","undefined","***Experiment Instructions.*** Please read the following paragraphs carefully. You will be asked questions about the information in the paragraphs. 

***Scenario:*** Assume that you are a stock market investor. You are investing your own money in stocks, and you want to determine the average price of a stock over time in order to pick the best investment.

***Task:*** In this experiment, you will be shown graphs of stock prices over a one-year period like the one below. Your task is to determine the average stock price for that year. **What is the average stock price?** 

***Response:*** To indicate the average stock price, use your mouse to click and drag the handle on the slider, which will show a dotted red line. Move the line to where you think the average stock price is for that year. You can readjust the line by clicking, dragging, or using the left and right arrow keys. Once you are happy with your judgment of the average stock price, click the next button.","Numeric response of slider to Mortiz question","0.51","9113","9113","Moritz","undefined","undefined","undefined","moritz","[object Object]"
"3f2e2f4f-9c1f-4aef-b09e-2a6d20988260","point_task_2","15","pixelResponse","completed","undefined","***Experiment Instructions.*** Please read the following paragraphs carefully. You will be asked questions about the information in the paragraphs. 

***Scenario:*** Assume that you are a stock market investor. You are investing your own money in stocks, and you want to determine the average price of a stock over time in order to pick the best investment.

***Task:*** In this experiment, you will be shown graphs of stock prices over a one-year period like the one below. Your task is to determine the average stock price for that year. **What is the average stock price?** 

***Response:*** To indicate the average stock price, use your mouse to click and drag the handle on the slider, which will show a dotted red line. Move the line to where you think the average stock price is for that year. You can readjust the line by clicking, dragging, or using the left and right arrow keys. Once you are happy with your judgment of the average stock price, click the next button.","Numeric response of slider to Mortiz question","103","9113","9113","Moritz","undefined","undefined","undefined","moritz","[object Object]"
"3f2e2f4f-9c1f-4aef-b09e-2a6d20988260","point_task_2","15","windowEvents","undefined","undefined","undefined","undefined","{""focus"":1,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":63,""mousedown"":1,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"3f2e2f4f-9c1f-4aef-b09e-2a6d20988260","point_task_5","16","numericResponse","completed","undefined","***Experiment Instructions.*** Please read the following paragraphs carefully. You will be asked questions about the information in the paragraphs. 

***Scenario:*** Assume that you are a stock market investor. You are investing your own money in stocks, and you want to determine the average price of a stock over time in order to pick the best investment.

***Task:*** In this experiment, you will be shown graphs of stock prices over a one-year period like the one below. Your task is to determine the average stock price for that year. **What is the average stock price?** 

***Response:*** To indicate the average stock price, use your mouse to click and drag the handle on the slider, which will show a dotted red line. Move the line to where you think the average stock price is for that year. You can readjust the line by clicking, dragging, or using the left and right arrow keys. Once you are happy with your judgment of the average stock price, click the next button.","Numeric response of slider to Mortiz question","0.48","6907","6907","Moritz","undefined","undefined","undefined","moritz","[object Object]"
"3f2e2f4f-9c1f-4aef-b09e-2a6d20988260","point_task_5","16","pixelResponse","completed","undefined","***Experiment Instructions.*** Please read the following paragraphs carefully. You will be asked questions about the information in the paragraphs. 

***Scenario:*** Assume that you are a stock market investor. You are investing your own money in stocks, and you want to determine the average price of a stock over time in order to pick the best investment.

***Task:*** In this experiment, you will be shown graphs of stock prices over a one-year period like the one below. Your task is to determine the average stock price for that year. **What is the average stock price?** 

***Response:*** To indicate the average stock price, use your mouse to click and drag the handle on the slider, which will show a dotted red line. Move the line to where you think the average stock price is for that year. You can readjust the line by clicking, dragging, or using the left and right arrow keys. Once you are happy with your judgment of the average stock price, click the next button.","Numeric response of slider to Mortiz question","109.00000000000001","6907","6907","Moritz","undefined","undefined","undefined","moritz","[object Object]"
"3f2e2f4f-9c1f-4aef-b09e-2a6d20988260","point_task_5","16","windowEvents","undefined","undefined","undefined","undefined","{""focus"":3,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":43,""mousedown"":4,""mouseup"":4,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"3f2e2f4f-9c1f-4aef-b09e-2a6d20988260","point_task_28","17","numericResponse","completed","undefined","***Experiment Instructions.*** Please read the following paragraphs carefully. You will be asked questions about the information in the paragraphs. 

***Scenario:*** Assume that you are a stock market investor. You are investing your own money in stocks, and you want to determine the average price of a stock over time in order to pick the best investment.

***Task:*** In this experiment, you will be shown graphs of stock prices over a one-year period like the one below. Your task is to determine the average stock price for that year. **What is the average stock price?** 

***Response:*** To indicate the average stock price, use your mouse to click and drag the handle on the slider, which will show a dotted red line. Move the line to where you think the average stock price is for that year. You can readjust the line by clicking, dragging, or using the left and right arrow keys. Once you are happy with your judgment of the average stock price, click the next button.","Numeric response of slider to Mortiz question","0.83","7225","7225","Moritz","undefined","undefined","undefined","moritz","[object Object]"
"3f2e2f4f-9c1f-4aef-b09e-2a6d20988260","point_task_28","17","pixelResponse","completed","undefined","***Experiment Instructions.*** Please read the following paragraphs carefully. You will be asked questions about the information in the paragraphs. 

***Scenario:*** Assume that you are a stock market investor. You are investing your own money in stocks, and you want to determine the average price of a stock over time in order to pick the best investment.

***Task:*** In this experiment, you will be shown graphs of stock prices over a one-year period like the one below. Your task is to determine the average stock price for that year. **What is the average stock price?** 

***Response:*** To indicate the average stock price, use your mouse to click and drag the handle on the slider, which will show a dotted red line. Move the line to where you think the average stock price is for that year. You can readjust the line by clicking, dragging, or using the left and right arrow keys. Once you are happy with your judgment of the average stock price, click the next button.","Numeric response of slider to Mortiz question","39.00000000000001","7225","7225","Moritz","undefined","undefined","undefined","moritz","[object Object]"
"3f2e2f4f-9c1f-4aef-b09e-2a6d20988260","point_task_28","17","windowEvents","undefined","undefined","undefined","undefined","{""focus"":2,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":40,""mousedown"":2,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"3f2e2f4f-9c1f-4aef-b09e-2a6d20988260","point_task_20","18","numericResponse","completed","undefined","***Experiment Instructions.*** Please read the following paragraphs carefully. You will be asked questions about the information in the paragraphs. 

***Scenario:*** Assume that you are a stock market investor. You are investing your own money in stocks, and you want to determine the average price of a stock over time in order to pick the best investment.

***Task:*** In this experiment, you will be shown graphs of stock prices over a one-year period like the one below. Your task is to determine the average stock price for that year. **What is the average stock price?** 

***Response:*** To indicate the average stock price, use your mouse to click and drag the handle on the slider, which will show a dotted red line. Move the line to where you think the average stock price is for that year. You can readjust the line by clicking, dragging, or using the left and right arrow keys. Once you are happy with your judgment of the average stock price, click the next button.","Numeric response of slider to Mortiz question","0.51","3947","3947","Moritz","undefined","undefined","undefined","moritz","[object Object]"
"3f2e2f4f-9c1f-4aef-b09e-2a6d20988260","point_task_20","18","pixelResponse","completed","undefined","***Experiment Instructions.*** Please read the following paragraphs carefully. You will be asked questions about the information in the paragraphs. 

***Scenario:*** Assume that you are a stock market investor. You are investing your own money in stocks, and you want to determine the average price of a stock over time in order to pick the best investment.

***Task:*** In this experiment, you will be shown graphs of stock prices over a one-year period like the one below. Your task is to determine the average stock price for that year. **What is the average stock price?** 

***Response:*** To indicate the average stock price, use your mouse to click and drag the handle on the slider, which will show a dotted red line. Move the line to where you think the average stock price is for that year. You can readjust the line by clicking, dragging, or using the left and right arrow keys. Once you are happy with your judgment of the average stock price, click the next button.","Numeric response of slider to Mortiz question","103","3947","3947","Moritz","undefined","undefined","undefined","moritz","[object Object]"
